borough_y,sale_price,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age
QN,800000,1920.0,976.0,1536.0,768.0,768.0,1.0,2.0,2.0,40.7203649,-73.9055614,4.0,S1,105.0
QN,800000,1920.0,784.0,1536.0,768.0,768.0,1.0,2.0,2.0,40.7203786,-73.9055001,4.0,S1,105.0
QN,740000,1915.0,2534.0,1040.0,1040.0,0.0,1.0,1.0,2.0,40.7235555,-73.9004267,1.0,A1,110.0
QN,1300000,1935.0,2500.0,2800.0,1600.0,1200.0,1.0,2.0,3.0,40.7247638,-73.8980546,4.0,S1,90.0
QN,700000,1950.0,1978.0,1277.0,730.0,0.0,1.0,1.0,1.0,40.7192283,-73.9052131,1.0,A2,75.0
QN,1035000,1915.0,2500.0,1740.0,1740.0,0.0,1.0,1.0,2.0,40.7179988,-73.9054241,1.0,A1,110.0
BK,715000,2014.0,9360.0,37592.0,37592.0,0.0,44.0,44.0,8.0,40.7162735,-73.9513443,3.0,D1,11.0
QN,641497,1935.0,1640.0,1710.0,1110.0,0.0,1.0,1.0,2.0,40.7217002,-73.9006171,1.0,A5,90.0
QN,660000,1920.0,2033.0,1000.0,1000.0,0.0,1.0,1.0,1.25,40.7210957,-73.8998243,1.0,A0,105.0
QN,672000,1920.0,2000.0,1000.0,1000.0,0.0,1.0,1.0,1.25,40.7210384,-73.9002573,1.0,A2,105.0
QN,620000,1925.0,1655.0,600.0,600.0,0.0,1.0,1.0,1.0,40.7208093,-73.8988399,1.0,A5,100.0
QN,820000,1930.0,1744.0,1348.0,1348.0,0.0,1.0,1.0,2.0,40.7174463,-73.9012006,1.0,A5,95.0
QN,949000,1935.0,2200.0,1677.0,924.0,0.0,1.0,1.0,1.0,40.7173604,-73.9002773,1.0,A2,90.0
QN,700000,1930.0,2185.0,1152.0,1152.0,0.0,1.0,1.0,2.0,40.7180974,-73.89866,1.0,A5,95.0
QN,740000,1930.0,2225.0,1152.0,1152.0,0.0,1.0,1.0,2.0,40.7175294,-73.8988593,1.0,A5,95.0
QN,750000,1930.0,2225.0,1152.0,1152.0,0.0,1.0,1.0,2.0,40.7179842,-73.8979315,1.0,A5,95.0
BX,800000,1983.0,29000.0,4400.0,0.0,4400.0,0.0,1.0,1.0,40.8124777,-73.8864974,10.0,G7,42.0
BK,507000,1901.0,1825.0,1350.0,1350.0,0.0,1.0,1.0,3.0,40.7130559,-73.949709,1.0,A9,124.0
BX,660000,1960.0,5000.0,5000.0,0.0,5000.0,0.0,1.0,1.0,40.8094795,-73.8854621,6.0,E1,65.0
BK,765000,1899.0,1350.0,1989.0,1282.0,0.0,2.0,2.0,2.0,40.7121143,-73.9492696,1.0,B3,126.0
BK,499900,1910.0,1875.0,2535.0,1580.0,0.0,2.0,2.0,2.0,40.7130198,-73.9428518,1.0,B1,115.0
QN,785000,1955.0,3000.0,1288.0,736.0,0.0,1.0,1.0,1.0,40.7185238,-73.893746,1.0,A5,70.0
QN,785000,1955.0,2380.0,1228.0,702.0,0.0,1.0,1.0,1.0,40.7184334,-73.8939301,1.0,A5,70.0
BK,860000,1910.0,1900.0,1710.0,1140.0,0.0,2.0,2.0,2.0,40.712265,-73.9428885,1.0,B9,115.0
BK,956525,1910.0,1900.0,1710.0,1140.0,0.0,2.0,2.0,2.0,40.712265,-73.9428885,1.0,B9,115.0
BX,900000,1931.0,2500.0,9000.0,9000.0,0.0,8.0,8.0,4.0,40.8387239,-73.9095603,2.0,C6,94.0
QN,1175000,1930.0,2850.0,1760.0,1760.0,0.0,2.0,2.0,2.0,40.7342803,-73.9192461,1.0,B1,95.0
QN,1185000,1930.0,1900.0,1649.0,1649.0,0.0,2.0,2.0,2.0,40.7345629,-73.919188,1.0,B1,95.0
BK,990000,2010.0,2500.0,8517.0,5111.0,1703.0,6.0,7.0,4.25,40.7189019,-73.9554441,4.0,S5,15.0
QN,1282000,1930.0,1900.0,1649.0,1649.0,0.0,2.0,2.0,2.0,40.7342526,-73.9188925,1.0,B1,95.0
QN,1198000,1930.0,1900.0,1649.0,1649.0,0.0,2.0,2.0,2.0,40.7335445,-73.9190341,1.0,B1,95.0
QN,999000,1920.0,1880.0,1649.0,1649.0,0.0,2.0,2.0,2.0,40.7336484,-73.9183772,1.0,B1,105.0
BX,1200000,1904.0,12575.0,11325.0,0.0,11325.0,0.0,1.0,1.0,40.8150816,-73.9217853,8.0,M1,121.0
QN,988000,1935.0,2000.0,1520.0,1520.0,0.0,2.0,2.0,2.0,40.7374332,-73.9039892,1.0,B3,90.0
QN,1300000,1960.0,1900.0,2109.0,2109.0,0.0,2.0,2.0,3.0,40.736031,-73.9044098,1.0,B1,65.0
QN,997000,1945.0,2000.0,1400.0,1400.0,0.0,2.0,2.0,2.0,40.7376101,-73.9021089,1.0,B3,80.0
QN,1175000,1945.0,2000.0,1520.0,1520.0,0.0,2.0,2.0,2.0,40.7352747,-73.9025598,1.0,B3,80.0
SI,995000,1970.0,5598.0,2114.0,1208.0,0.0,1.0,1.0,1.0,40.5903591,-74.1585531,1.0,A1,55.0
QN,949000,1940.0,1900.0,1216.0,1216.0,0.0,2.0,2.0,2.0,40.7311329,-73.9025803,1.0,B3,85.0
QN,975000,1945.0,2000.0,1840.0,1440.0,0.0,2.0,2.0,2.0,40.7299292,-73.9008862,1.0,B3,80.0
QN,995000,1945.0,1900.0,1596.0,1596.0,0.0,2.0,2.0,2.0,40.7309667,-73.9008486,1.0,B3,80.0
